sample_id,speaker_count,mapping_status,child_speaker_ids,counselor_speaker_ids,mixed_speaker_ids,child_coverage,counselor_coverage,speaker_mapping_json
3807,2,ROLE_MAPPING_OK,1,0,,0.8565,0.9954,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 12.96, ""counselor_sec"": 160.066, ""purity"": 0.9251, ""word_count"": 457}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 77.3381, ""counselor_sec"": 0.738, ""purity"": 0.9905, ""word_count"": 195}]"
1225,3,ROLE_MAPPING_OK,1,0,2,0.9934,0.9908,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 143.8898, ""purity"": 1.0, ""word_count"": 373}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 75.2002, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 196}, {""speaker"": 2, ""role"": ""MIXED"", ""child_sec"": 0.5, ""counselor_sec"": 1.329, ""purity"": 0.7266, ""word_count"": 9}]"
5050,2,ROLE_MAPPING_OK,1,0,,0.9933,0.9962,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.569, ""counselor_sec"": 131.449, ""purity"": 0.9957, ""word_count"": 342}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 84.288, ""counselor_sec"": 0.5, ""purity"": 0.9941, ""word_count"": 209}]"
3570,2,ROLE_MAPPING_OK,1,0,,0.9777,0.9838,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 1.215, ""counselor_sec"": 121.328, ""purity"": 0.9901, ""word_count"": 351}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 53.3201, ""counselor_sec"": 2.0, ""purity"": 0.9638, ""word_count"": 141}]"
0447,2,ROLE_MAPPING_OK,1,0,,0.9459,0.9886,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 3.983, ""counselor_sec"": 151.4803, ""purity"": 0.9744, ""word_count"": 370}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 69.689, ""counselor_sec"": 1.753, ""purity"": 0.9755, ""word_count"": 161}]"
0607,2,ROLE_MAPPING_OK,1,0,,0.9636,0.9633,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 3.64, ""counselor_sec"": 134.9701, ""purity"": 0.9737, ""word_count"": 347}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 96.3541, ""counselor_sec"": 5.135, ""purity"": 0.9494, ""word_count"": 245}]"
3859,2,ROLE_MAPPING_OK,1,0,,0.9941,0.9848,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.629, ""counselor_sec"": 152.0379, ""purity"": 0.9959, ""word_count"": 419}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 106.5029, ""counselor_sec"": 2.35, ""purity"": 0.9784, ""word_count"": 303}]"
2903,2,ROLE_MAPPING_OK,1,0,,0.9694,0.9923,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 2.232, ""counselor_sec"": 121.924, ""purity"": 0.982, ""word_count"": 349}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 70.6429, ""counselor_sec"": 0.947, ""purity"": 0.9868, ""word_count"": 190}]"
0633,3,ROLE_MAPPING_OK,1,0,2,0.993,0.9913,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.218, ""counselor_sec"": 114.285, ""purity"": 0.9981, ""word_count"": 299}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 89.8056, ""counselor_sec"": 0.5, ""purity"": 0.9945, ""word_count"": 212}, {""speaker"": 2, ""role"": ""MIXED"", ""child_sec"": 0.416, ""counselor_sec"": 0.5, ""purity"": 0.5459, ""word_count"": 2}]"
3726,2,AMBIGUOUS,1,0,,0.7984,0.9595,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 33.16, ""counselor_sec"": 138.6941, ""purity"": 0.807, ""word_count"": 486}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 131.2952, ""counselor_sec"": 5.86, ""purity"": 0.9573, ""word_count"": 375}]"
2182,2,AMBIGUOUS,1,0,,0.7048,0.9894,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 23.592, ""counselor_sec"": 150.6249, ""purity"": 0.8646, ""word_count"": 486}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 56.3401, ""counselor_sec"": 1.62, ""purity"": 0.972, ""word_count"": 155}]"
3920,2,ROLE_MAPPING_OK,1,0,,0.9964,0.9988,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.345, ""counselor_sec"": 139.4381, ""purity"": 0.9975, ""word_count"": 383}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 94.9457, ""counselor_sec"": 0.164, ""purity"": 0.9983, ""word_count"": 260}]"
