sample_id,comparison_group,deepgram_status,elevenlabs_status,deepgram_child_coverage,elevenlabs_child_coverage,deepgram_counselor_coverage,elevenlabs_counselor_coverage,deepgram_speaker_count,elevenlabs_speaker_count
2717,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9878,0.998,0.8863,0.9986,2,2
2730,BOTH_FAILED,SINGLE_SPEAKER_COLLAPSE,SINGLE_SPEAKER_COLLAPSE,0.0,0.0,0.0,0.0,1,1
2796,ELEVENLABS_ONLY_OK,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.0,1.0,0.0,0.9967,2,2
2903,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9694,1.0,0.9923,1.0,2,2
2915,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9867,1.0,0.9689,1.0,2,2
2961,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9557,1.0,0.9821,1.0,2,2
3024,ELEVENLABS_ONLY_OK,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.4199,1.0,0.0,1.0,2,2
3104,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9204,1.0,0.9919,1.0,2,2
3140,ELEVENLABS_ONLY_OK,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.0099,1.0,0.0,0.9891,2,2
3181,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9511,1.0,0.9938,1.0,2,2
3196,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9782,1.0,0.8923,0.9999,2,2
3262,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9534,1.0,0.999,1.0,2,2
3268,ELEVENLABS_ONLY_OK,SINGLE_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.0,1.0,0.0,1.0,1,2
3340,ELEVENLABS_ONLY_OK,AMBIGUOUS,ROLE_MAPPING_OK,0.7333,1.0,0.9893,1.0,3,2
3358,ELEVENLABS_ONLY_OK,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.8904,1.0,0.7279,1.0,3,2
