sample_id,speaker_count,mapping_status,child_speaker_ids,counselor_speaker_ids,mixed_speaker_ids,child_coverage,counselor_coverage,speaker_mapping_json
3859,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 121.107, ""purity"": 1.0, ""word_count"": 422}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 84.641, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 298}]"
2903,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 91.709, ""purity"": 1.0, ""word_count"": 347}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 54.537, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 189}]"
0633,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 97.852, ""purity"": 1.0, ""word_count"": 299}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 132.915, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 206}]"
3726,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 93.816, ""purity"": 1.0, ""word_count"": 411}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 126.066, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 454}]"
2182,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,0.9958,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 104.748, ""purity"": 1.0, ""word_count"": 426}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 55.566, ""counselor_sec"": 0.445, ""purity"": 0.9921, ""word_count"": 216}]"
3920,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 111.073, ""purity"": 1.0, ""word_count"": 380}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 77.752, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 263}]"
2717,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,0.998,0.9986,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.215, ""counselor_sec"": 126.962, ""purity"": 0.9983, ""word_count"": 418}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 104.927, ""counselor_sec"": 0.182, ""purity"": 0.9983, ""word_count"": 342}]"
3181,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 119.768, ""purity"": 1.0, ""word_count"": 418}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 70.478, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 217}]"
1239,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 160.917, ""purity"": 1.0, ""word_count"": 452}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 141.136, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 372}]"
2531,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,0.9979,0.9954,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.21, ""counselor_sec"": 146.503, ""purity"": 0.9986, ""word_count"": 396}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 102.063, ""counselor_sec"": 0.676, ""purity"": 0.9934, ""word_count"": 257}]"
